模型,场景,风电场景,光伏场景,日氨产量(t/day),购电量(MWh),售电量(MWh),最大购电功率(MW),最大反送功率(MW),交换功率峰谷差(MW),最大爬坡功率(MW/h),交换功率标准差(MW)
问题三连续调节,风电4-光伏3,4,3,72.0,604.116,0.0,37.9142,0.0,22.270000000000003,10.476199999999995,6.799763356911768
问题三连续调节,风电4-光伏4,4,4,36.0,203.03419942114854,42.27819949105806,34.5162,13.4722,47.9884,39.1082,13.928173842308718
问题三连续调节,风电4-光伏4,4,4,45.0,281.11720884591693,0.0,34.516199999999984,-0.0,34.516199999999984,19.2842,12.364811748826414
问题三连续调节,风电4-光伏4,4,4,54.0,414.1886373626372,0.0,37.9142,-0.0,37.9142,37.9142,13.253404396767461
问题三连续调节,风电4-光伏4,4,4,63.0,535.6845714285712,0.0,37.9142,0.0,33.0564,24.0622,8.68565594387778
问题三连续调节,风电4-光伏4,4,4,72.0,668.7560000000001,0.0,37.9142,0.0,22.270000000000003,13.036199999999997,6.243300937716272
问题三连续调节,风电5-光伏1,5,1,36.0,212.7501995013233,483.45019956155,33.0938,65.46799999999999,98.56179999999999,44.3764,32.55462816952513
问题三连续调节,风电5-光伏1,5,1,45.0,212.75019950132332,366.45019956155,33.0938,45.6422,78.736,26.0522,28.132032950370174
问题三连续调节,风电5-光伏1,5,1,54.0,212.75019971831426,233.6117381798527,33.0938,44.66799999999999,77.7618,26.0522,23.056602425791315
问题三连续调节,风电5-光伏1,5,1,63.0,266.7927989010989,158.6442,34.11019999999999,24.942200000000007,59.0524,34.11019999999999,20.699371706542383
问题三连续调节,风电5-光伏1,5,1,72.0,395.9442,158.6442,36.856,24.942200000000007,61.79820000000001,23.5764,22.735048852157764
问题三连续调节,风电5-光伏2,5,2,36.0,226.830199501326,238.9701995615523,33.0938,36.84219956155227,69.93599956155228,35.60599950132599,21.911800255348325
问题三连续调节,风电5-光伏2,5,2,45.0,226.8301996861527,118.6825623235155,33.0938,26.4422,59.536,26.1482,18.350787937908965
问题三连续调节,风电5-光伏2,5,2,54.0,248.14201835748776,9.850400000000008,33.0938,5.742199999999997,38.836,26.1482,13.5978304353312
问题三连续调节,风电5-光伏2,5,2,63.0,377.7018561199279,9.850400000000008,36.856,5.742199999999997,42.5982,34.11019999999999,14.871801802717094
问题三连续调节,风电5-光伏2,5,2,72.0,505.7104,9.850400000000008,36.856,5.742199999999997,42.5982,19.736399999999996,13.34165873741176
问题三连续调节,风电5-光伏3,5,3,36.0,226.83019943881118,73.21019950658754,33.0938,16.146,49.2398,33.686,16.00912697699054
问题三连续调节,风电5-光伏3,5,3,45.0,272.11425125927343,0.0,33.0938,-0.0,33.0938,19.454548740726594,12.829268799919832
问题三连续调节,风电5-光伏3,5,3,54.0,401.7406044730194,0.0,34.110200000000006,-0.0,34.110200000000006,34.110200000000006,13.482619900906345
问题三连续调节,风电5-光伏3,5,3,63.0,528.5485714285714,0.0,36.856,-0.0,36.856,25.0702,11.774700166007957
问题三连续调节,风电5-光伏3,5,3,72.0,661.6200000000001,0.0,36.856,0.0,19.558200000000003,13.976400000000002,5.732422726038269
问题三连续调节,风电5-光伏4,5,4,36.0,226.8301993170045,8.570199399491809,33.0938,5.2620000000000005,38.3558,26.1482,13.726600143851627
问题三连续调节,风电5-光伏4,5,4,45.0,337.8047253373602,3.552713678800501e-15,33.0938,3.552713678800501e-15,33.0938,22.148125793343656,12.1012517142688
问题三连续调节,风电5-光伏4,5,4,54.0,470.87615384615367,3.552713678800501e-15,36.856,3.552713678800501e-15,36.85600000000001,36.2678,14.315504407600242
问题三连续调节,风电5-光伏4,5,4,63.0,593.1885715062353,0.0,36.856,0.0,31.7882,22.3602,9.429722436261715
问题三连续调节,风电5-光伏4,5,4,72.0,726.26,0.0,36.856,0.0,13.670200000000001,12.056399999999996,4.088191352202368
问题三连续调节,风电6-光伏1,6,1,36.0,243.18619907154613,410.22619918367843,33.42179999999998,48.99819918368065,82.41999918368063,51.746,28.563646539900223
问题三连续调节,风电6-光伏1,6,1,45.0,243.18619950132467,293.22619956155125,33.42180000000001,38.7882,72.21000000000001,33.3082,26.1655424860714
问题三连续调节,风电6-光伏1,6,1,54.0,243.18619967601344,160.2723535221674,33.4218,33.599799999999995,67.02159999999999,33.3082,21.017923448229055
问题三连续调节,风电6-光伏1,6,1,63.0,302.8666670865095,90.8262,34.7462,18.0882,52.8344,34.7462,19.150600100077018
问题三连续调节,风电6-光伏1,6,1,72.0,431.7862,90.8262,36.528,18.0882,54.6162,12.990000000000002,20.07956249645118
问题三连续调节,风电6-光伏2,6,2,36.0,257.266199501325,165.74619956155146,33.42180000000001,27.147800000000004,60.569600000000015,43.426,20.97774550769719
问题三连续调节,风电6-光伏2,6,2,45.0,257.26619957862914,44.84293034786002,33.42180000000001,16.238200000000003,49.66000000000001,33.3082,16.976570533217604
问题三连续调节,风电6-光伏2,6,2,54.0,338.67189566890283,3.552713678800501e-15,33.4218,3.552713678800501e-15,33.421800000000005,22.625999999999994,13.900517873403283
问题三连续调节,风电6-光伏2,6,2,63.0,470.91471011431906,3.552713678800501e-15,35.371999746562054,3.552713678800501e-15,35.371999746562054,28.71388963224303,14.23977212926028
问题三连续调节,风电6-光伏2,6,2,72.0,599.52,0.0,36.528,0.0,35.2262,7.2378,10.86995295114013
问题三连续调节,风电6-光伏3,6,3,36.0,257.28,7.105427357601002e-15,33.4218,3.552713678800501e-15,33.421800000000005,33.3082,15.170992434467387
问题三连续调节,风电6-光伏3,6,3,45.0,376.1423077592488,3.552713678800501e-15,33.42180000000001,3.552713678800501e-15,33.42180000000002,18.636200000000002,13.471815227801258
问题三连续调节,风电6-光伏3,6,3,54.0,509.213736263736,3.552713678800501e-15,35.372,3.552713678800501e-15,35.372,34.7462,15.40482337739155
问题三连续调节,风电6-光伏3,6,3,63.0,632.2085714285711,0.0,35.372,0.0,31.9202,25.434199999999997,10.673750901198243
问题三连续调节,风电6-光伏3,6,3,72.0,765.28,0.0,36.528,0.0,12.376199999999997,4.734199999999998,2.979277437381233
问题三连续调节,风电6-光伏4,6,4,36.0,321.9199999999998,3.552713678800501e-15,33.42180000000001,1.7763568394002505e-15,33.42180000000001,33.2562,14.348634217892968
问题三连续调节,风电6-光伏4,6,4,45.0,446.07348898454586,0.0,35.8378,-0.0,35.8378,35.803088792041386,14.510780621407353
问题三连续调节,风电6-光伏4,6,4,54.0,575.9199999644134,0.0,38.752,-0.0,38.752,38.67219999999999,15.235588359435074
问题三连续调节,风电6-光伏4,6,4,63.0,696.8485714285711,0.0,38.752,0.0,28.7102,24.794199999999993,9.455091328140565
问题三连续调节,风电6-光伏4,6,4,72.0,829.92,0.0,39.5802,0.0,9.068399999999993,4.9482,2.665492042131558
